,ASL,ASL Sentence,English,English Sentence
210,PRP$1 JJ1 NN1 PRP1 .1,your relative sick you ?,VB PRP$1 JJ1 NN1 .1,be your relative sick ?
211,PRP$1 JJ1 NNS1 VBP1 PRP1 .1,your grand children sick you ?,VB PRP$1 JJ1 NN VBP1 .1,be your grand child sick ?
212,PRP$1 JJ1 NN1 NN2 PRP1 .1,your great grandfather sick you ?,VB PRP$1 JJ1 NN1 NN2 .1,be your great grandfather sick ?
213,PRP$1 JJ1 JJ2 NN1 PRP1 .1,your great grandchildren sick you ?,VB PRP$1 JJ1 JJ NN1 .1,be your great grandchild sick ?
214,NN1 NN2 NN3 VBP1,yesterday store mary go,NN3 VBP1 TO DT NN2 NN1 .,mary go to the store yesterday .
215,NN1 NN2 NN3 VB1,yesterday store father go,PRP$ NN3 VB1 TO DT NN2 NN1 .,your father go to the store yesterday .
216,NN1 NN2 NN3 NN4 VB1,yesterday store older brother go,PRP$ JJ NN4 VB1 TO DT NN2 NN1 .,your old brother go to the store yesterday .
217,NN1 NN2 NN3 NN4 VBP1,yesterday store older sister go,PRP$ JJ NN4 VBP1 TO DT NN2 NN1 .,your old sister go to the store yesterday .
218,NN1 NN2 JJ1 NN3,yesterday store relative go,PRP$ JJ1 NN3 TO DT NN2 NN1 .,your relative go to the store yesterday .
219,NN1 NN2 JJ1 NNS1 VBP1,yesterday store grand children go,PRP$ JJ1 NN VBP1 TO DT NN2 NN1 .,your grand child go to the store yesterday .
220,NN1 VBD1 JJ1 NN2 VB1,yesterday store great grandfather go,PRP$ JJ1 NN2 VB1 TO DT VBD1 NN1 .,your great grandfather go to the store yesterday .
221,NN1 VBD1 JJ1 NNS1 VBP1,yesterday store great grandchildren go,PRP$ JJ1 JJ VBP1 TO DT VBD1 NN1 .,your great grandchild go to the store yesterday .
222,NN1 NN2 VBG1 VB1,yesterday office sibling go,PRP$ VBG1 VB1 TO DT NN2 NN1 .,your sibling go to the office yesterday .
223,NN1 NN2 RB1 VBP1,yesterday office niece go,PRP$ RB1 VBP1 TO DT NN2 NN1 .,your niece go to the office yesterday .
224,NN1 NN2 JJ1 NN3 VB1,yesterday office great grandfather go,PRP$ JJ1 NN3 VB1 TO DT NN2 NN1 .,your great grandfather go to the office yesterday .
225,NN1 NN2 NN3 IN1 NN4 VBP1,tomorrow police station older brother go,PRP$ JJ NN4 MD VBP1 TO DT NN2 NN3 NN1 .,your old brother will go to the police station tomorrow .
226,NN1 NN2 NN3 JJR1 NN4 VB1,tomorrow police station younger brother go,PRP$ JJ NN4 MD VB1 TO DT NN2 NN3 NN1 .,your young brother will go to the police station tomorrow .
227,NN1 NN2 NN3 JJR1 NN4 VBP1,tomorrow police station older sister go,PRP$ JJ NN4 MD VBP1 TO DT NN2 NN3 NN1 .,your old sister will go to the police station tomorrow .
228,NN1 NN2 NN3 VBG1 VB1,tomorrow police station sibling go,PRP$ VBG1 MD VB1 TO DT NN2 NN3 NN1 .,your sibling will go to the police station tomorrow .
229,NN1 NN2 NN3 RB1 VB1,tomorrow police station niece go,PRP$ RB1 MD VB1 TO DT NN2 NN3 NN1 .,your niece will go to the police station tomorrow .
230,NN1 NN2 NN3 JJ1 NNS1 VBP1,tomorrow police station grand children go,PRP$ JJ1 NN MD VBP1 TO DT NN2 NN3 NN1 .,your grand child will go to the police station tomorrow .
231,NN1 NN2 NN3 JJ1 NN4 VB1,tomorrow police station great grandfather go,PRP$ JJ1 NN4 MD VB1 TO DT NN2 NN3 NN1 .,your great grandfather will go to the police station tomorrow .
232,NN1 IN1 NN2 NN3,i from thailand i,PRP VB IN1 NN2 .,I be from thailand .
233,PRP$1 JJR1 NN1 NN2 WP1 .1,your older brother name what ?,WP1 VB PRP$1 JJ NN1 NN2 .1,what be your old brother name ?
234,PRP$1 VBG1 NN1 WP1 .1,your sibling name what ?,WP1 VB PRP$1 JJ NN1 .1,what be your sible name ?
235,PRP$1 JJ1 NNS1 VBP1 WP1 .1,your grand children name what ?,WP1 VB PRP$1 JJ1 NN VBP1 .1,what be your grand child name ?
236,NN1 VBP1 NN2,i accountant i,PRP VB VBP1 .,I be accountant .
237,JJ1 VBP1 NN1,i athlete i,PRP VB VBP1 .,I be athlete .
238,NN1 NN2 NN3,i chef i,PRP VB NN2 .,I be chef .
239,IN1 NN1 NN2,i composer i,PRP VB NN1 .,I be composer .
240,JJ1 JJ2 NN1 NN2,i graphic designer i,PRP VB JJ2 NN1 .,I be graphic designer .
241,JJ1 NNS1 NN1 NN2,i police officer i,PRP VB NNS1 NN1 .,I be police officer .
242,JJ1 JJ2 NN1 NN2 NN3,i real estate agent i,PRP VB JJ2 NN1 NN2 .,I be real estate agent .
243,NN1 NN2 NN3 NN4,i software developer i,PRP VB NN2 NN3 .,I be software developer .
244,NN1 VBP1 NN2 NN3,i web developer i,PRP VB VBP1 NN2 .,I be web developer .
245,JJ1 NN1 NN2 NN3,i delivery driver i,PRP VB NN1 NN2 .,I be delivery driver .
246,JJ1 VBP1 NN1 NN2,i makeup artist i,PRP VB VBP1 NN1 .,I be makeup artist .
247,NN1 IN1 NN2 CC1 NN3 NN4,i from antigua and barbuda i,PRP VB IN1 NN2 CC1 NN3 .,I be from antigua and barbuda .
248,NN1 IN1 NN2 NN3 NN4,i from burkina faso i,PRP VB IN1 NN2 NN3 .,I be from burkina faso .
249,NN1 IN1 JJ1 JJ2 NN2 NN3,i from central african republic i,PRP VB IN1 DT JJ1 JJ2 NN2 .,I be from the central african republic .
250,NN1 IN1 JJ1 NN2 NN3,i from czech republic i,PRP VB IN1 DT JJ1 NN2 .,I be from the czech republic .
251,NN1 IN1 JJ1 NN2 NNS1,i from equatorial guinea i,PRP VB IN1 JJ1 NN2 .,I be from equatorial guinea .
252,NN1 IN1 NN2 NNS1,i from guinea i,PRP VB IN1 NN2 .,I be from guinea .
253,NN1 IN1 NNS1 NNS2,i from honduras i,PRP VB IN1 NN .,I be from hondura .
254,NN1 IN1 NNS1 VBP1,i from maldives i,PRP VB IN1 DT NN .,I be from the maldive .
255,NN1 IN1 JJ1 NNS1 VBP1,i from marshall islands i,PRP VB IN1 DT JJ1 NN .,I be from the marshall island .
256,NN1 IN1 JJ1 NN2,i from nepal i,PRP VB IN1 JJ1 .,I be from nepal .
257,NN1 IN1 NNS1 JJ1,i from netherlands i,PRP VB IN1 DT NNS1 .,I be from the netherlands .
258,NN1 IN1 JJ1 JJ2 NN2 NNS1,i from papua new guinea i,PRP VB IN1 JJ1 JJ2 NN2 .,I be from papua new guinea .
259,NN1 IN1 NN2 NNS1 CC1 NN3 NN4,i from saint kitts and nevis i,PRP VB IN1 NN2 NNS1 CC1 NN3 .,I be from saint kitts and nevis .
260,NN1 IN1 NN2 NN3 CC1 DT1 NNS1 NN4,i from saint vincent and the grenadines i,PRP VB IN1 NN2 NN3 CC1 DT1 NN .,I be from saint vincent and the grenadine .
261,NN1 IN1 JJ1 NN2 CC1 NN3 NN4,i from sao tome and principe i,PRP VB IN1 JJ1 NN2 CC1 NN3 .,I be from sao tome and principe .
262,NN1 IN1 JJ1 NN2 VBZ1 NNS1,i from united arab emirates i,PRP VB IN1 DT JJ1 NN2 NN .,I be from the united arab emirate .
263,PRP$1 NN1 .1,your name ?,WP VB PRP$1 NN1 .1,what be your name ?
264,PRP1 VBP1 PRP2,I student I,PRP2 VB VBP1,I be student
